CON - 0 | PROD: 0 | PID: 4030 | COUNT: 100 | MSG: 963
CON - 1 | PROD: 0 | PID: 4030 | COUNT: 99 | MSG: 6
CON - 2 | PROD: 0 | PID: 4030 | COUNT: 98 | MSG: 526
CON - 3 | PROD: 0 | PID: 4030 | COUNT: 97 | MSG: 808
CON - 4 | PROD: 0 | PID: 4030 | COUNT: 96 | MSG: 219
CON - 0 | PROD: 4 | PID: 3905 | COUNT: 15 | MSG: 864
CON - 1 | PROD: 2 | PID: 3903 | COUNT: 15 | MSG: 864
CON - 2 | PROD: 3 | PID: 3904 | COUNT: 14 | MSG: 214
CON - 3 | PROD: 1 | PID: 3902 | COUNT: 16 | MSG: 668
CON - 4 | PROD: 0 | PID: 3901 | COUNT: 10 | MSG: 493
CON - 0 | PROD: 4 | PID: 3905 | COUNT: 14 | MSG: 214
CON - 0 | PROD: 2 | PID: 3903 | COUNT: 14 | MSG: 214
CON - 1 | PROD: 3 | PID: 3904 | COUNT: 13 | MSG: 501
CON - 1 | PROD: 1 | PID: 3902 | COUNT: 15 | MSG: 864
CON - 2 | PROD: 0 | PID: 3901 | COUNT: 9 | MSG: 895
CON - 2 | PROD: 4 | PID: 3905 | COUNT: 13 | MSG: 501
CON - 3 | PROD: 2 | PID: 3903 | COUNT: 13 | MSG: 501
CON - 3 | PROD: 3 | PID: 3904 | COUNT: 12 | MSG: 81
CON - 4 | PROD: 1 | PID: 3902 | COUNT: 14 | MSG: 214
CON - 4 | PROD: 0 | PID: 3901 | COUNT: 8 | MSG: 202
CON - 0 | PROD: 0 | PID: 4030 | COUNT: 95 | MSG: 753
CON - 0 | PROD: 4 | PID: 3905 | COUNT: 12 | MSG: 81
CON - 1 | PROD: 2 | PID: 4032 | COUNT: 100 | MSG: 963
CON - 1 | PROD: 2 | PID: 3903 | COUNT: 12 | MSG: 81
CON - 2 | PROD: 3 | PID: 4033 | COUNT: 100 | MSG: 963
CON - 2 | PROD: 3 | PID: 3904 | COUNT: 11 | MSG: 101
CON - 0 | PROD: 1 | PID: 4031 | COUNT: 100 | MSG: 963
CON - 3 | PROD: 4 | PID: 4034 | COUNT: 100 | MSG: 963
CON - 4 | PROD: 0 | PID: 4030 | COUNT: 94 | MSG: 57
CON - 3 | PROD: 1 | PID: 3902 | COUNT: 13 | MSG: 501
CON - 1 | PROD: 2 | PID: 4032 | COUNT: 99 | MSG: 6
CON - 2 | PROD: 3 | PID: 4033 | COUNT: 99 | MSG: 6
CON - 4 | PROD: 0 | PID: 3901 | COUNT: 7 | MSG: 294
CON - 3 | PROD: 1 | PID: 4031 | COUNT: 99 | MSG: 6
CON - 4 | PROD: 4 | PID: 4034 | COUNT: 99 | MSG: 6
CON - 0 | PROD: 0 | PID: 4030 | COUNT: 93 | MSG: 243
CON - 1 | PROD: 2 | PID: 4032 | COUNT: 98 | MSG: 526
CON - 2 | PROD: 3 | PID: 4033 | COUNT: 98 | MSG: 526
CON - 3 | PROD: 1 | PID: 4031 | COUNT: 98 | MSG: 526
CON - 0 | PROD: 4 | PID: 3905 | COUNT: 11 | MSG: 101
CON - 4 | PROD: 4 | PID: 4034 | COUNT: 98 | MSG: 526
CON - 1 | PROD: 2 | PID: 3903 | COUNT: 11 | MSG: 101
CON - 2 | PROD: 3 | PID: 3904 | COUNT: 10 | MSG: 493
CON - 3 | PROD: 1 | PID: 3902 | COUNT: 12 | MSG: 81
CON - 4 | PROD: 0 | PID: 3901 | COUNT: 6 | MSG: 552
CON - 0 | PROD: 0 | PID: 4030 | COUNT: 92 | MSG: 254
CON - 1 | PROD: 2 | PID: 4032 | COUNT: 97 | MSG: 808
CON - 2 | PROD: 3 | PID: 4033 | COUNT: 97 | MSG: 808
CON - 3 | PROD: 1 | PID: 4031 | COUNT: 97 | MSG: 808
CON - 4 | PROD: 4 | PID: 4034 | COUNT: 97 | MSG: 808
CON - 0 | PROD: 4 | PID: 3905 | COUNT: 10 | MSG: 493
CON - 0 | PROD: 0 | PID: 4030 | COUNT: 91 | MSG: 593
CON - 1 | PROD: 2 | PID: 3903 | COUNT: 10 | MSG: 493
CON - 1 | PROD: 2 | PID: 4032 | COUNT: 96 | MSG: 219
CON - 2 | PROD: 3 | PID: 3904 | COUNT: 9 | MSG: 895
CON - 2 | PROD: 3 | PID: 4033 | COUNT: 96 | MSG: 219
CON - 3 | PROD: 1 | PID: 4031 | COUNT: 96 | MSG: 219
CON - 3 | PROD: 1 | PID: 3902 | COUNT: 11 | MSG: 101
CON - 4 | PROD: 4 | PID: 4034 | COUNT: 96 | MSG: 219
CON - 4 | PROD: 0 | PID: 3901 | COUNT: 5 | MSG: 569
CON - 0 | PROD: 0 | PID: 4030 | COUNT: 90 | MSG: 398
CON - 1 | PROD: 2 | PID: 4032 | COUNT: 95 | MSG: 753
CON - 2 | PROD: 3 | PID: 4033 | COUNT: 95 | MSG: 753
CON - 3 | PROD: 1 | PID: 4031 | COUNT: 95 | MSG: 753
CON - 4 | PROD: 4 | PID: 4034 | COUNT: 95 | MSG: 753
CON - 0 | PROD: 0 | PID: 4030 | COUNT: 89 | MSG: 423
CON - 1 | PROD: 2 | PID: 4032 | COUNT: 94 | MSG: 57
CON - 2 | PROD: 3 | PID: 4033 | COUNT: 94 | MSG: 57
CON - 3 | PROD: 1 | PID: 4031 | COUNT: 94 | MSG: 57
CON - 4 | PROD: 4 | PID: 4034 | COUNT: 94 | MSG: 57
CON - 0 | PROD: 4 | PID: 3905 | COUNT: 9 | MSG: 895
CON - 1 | PROD: 2 | PID: 3903 | COUNT: 9 | MSG: 895
CON - 2 | PROD: 3 | PID: 3904 | COUNT: 8 | MSG: 202
CON - 3 | PROD: 1 | PID: 3902 | COUNT: 10 | MSG: 493
CON - 4 | PROD: 0 | PID: 3901 | COUNT: 4 | MSG: 671
CON - 0 | PROD: 0 | PID: 4030 | COUNT: 88 | MSG: 442
CON - 1 | PROD: 2 | PID: 4032 | COUNT: 93 | MSG: 243
CON - 2 | PROD: 3 | PID: 4033 | COUNT: 93 | MSG: 243
CON - 3 | PROD: 1 | PID: 4031 | COUNT: 93 | MSG: 243
CON - 0 | PROD: 4 | PID: 3905 | COUNT: 8 | MSG: 202
CON - 4 | PROD: 4 | PID: 4034 | COUNT: 93 | MSG: 243
CON - 1 | PROD: 2 | PID: 3903 | COUNT: 8 | MSG: 202
CON - 2 | PROD: 3 | PID: 3904 | COUNT: 7 | MSG: 294
CON - 3 | PROD: 1 | PID: 3902 | COUNT: 9 | MSG: 895
CON - 4 | PROD: 0 | PID: 3901 | COUNT: 3 | MSG: 455
CON - 0 | PROD: 0 | PID: 4030 | COUNT: 87 | MSG: 517
CON - 1 | PROD: 2 | PID: 4032 | COUNT: 92 | MSG: 254
CON - 2 | PROD: 3 | PID: 4033 | COUNT: 92 | MSG: 254
CON - 3 | PROD: 1 | PID: 4031 | COUNT: 92 | MSG: 254
CON - 4 | PROD: 4 | PID: 4034 | COUNT: 92 | MSG: 254
CON - 0 | PROD: 4 | PID: 3905 | COUNT: 7 | MSG: 294
CON - 1 | PROD: 2 | PID: 3903 | COUNT: 7 | MSG: 294
CON - 2 | PROD: 3 | PID: 3904 | COUNT: 6 | MSG: 552
CON - 0 | PROD: 0 | PID: 4030 | COUNT: 86 | MSG: 506
CON - 1 | PROD: 2 | PID: 4032 | COUNT: 91 | MSG: 593
CON - 3 | PROD: 1 | PID: 3902 | COUNT: 8 | MSG: 202
CON - 2 | PROD: 3 | PID: 4033 | COUNT: 91 | MSG: 593
CON - 3 | PROD: 1 | PID: 4031 | COUNT: 91 | MSG: 593
CON - 4 | PROD: 0 | PID: 3901 | COUNT: 2 | MSG: 56
CON - 4 | PROD: 4 | PID: 4034 | COUNT: 91 | MSG: 593
CON - 0 | PROD: 4 | PID: 3905 | COUNT: 6 | MSG: 552
CON - 1 | PROD: 2 | PID: 3903 | COUNT: 6 | MSG: 552
CON - 2 | PROD: 3 | PID: 3904 | COUNT: 5 | MSG: 569
CON - 3 | PROD: 1 | PID: 3902 | COUNT: 7 | MSG: 294
CON - 4 | PROD: 0 | PID: 3901 | COUNT: 1 | MSG: 855
CON - 0 | PROD: 4 | PID: 3905 | COUNT: 5 | MSG: 569
CON - 1 | PROD: 2 | PID: 3903 | COUNT: 5 | MSG: 569
CON - 2 | PROD: 3 | PID: 3904 | COUNT: 4 | MSG: 671
